transaction_id	transactional_date	product_id	customer_id	payment	credit_card	loyalty_card	cost	quantity	price
1	2021-05-04 02:00:00	P0494	4	visa	4041593010498829	F	17.33	2	18.29
2	2021-05-04 03:04:00	P0221	5	visa	4041596151234556	F	0.59	1	1.49
3	2021-05-04 03:56:00	P0625	5	visa	4041594885335898	F	5.15	3	5.89
4	2021-05-04 05:20:00	P0431	8	mastercard	5108753677552345	F	10.67	2	11.59
5	2021-05-04 05:45:00	P0058	5	mastercard	5108752372298261	T	11.38	2	12.39
6	2021-05-04 06:58:00	P0385	6	americanexpress	374288563442549	F	13.22	1	14.69
7	2021-05-04 07:03:00	P0575	4	visa	4041598869758	F	2.81	1	3.99
8	2021-05-04 07:45:00	P0187	5	americanexpress	374283491107967	F	4.17	1	4.89
9	2021-05-04 08:30:00	P0731	7	mastercard	5108751234567890	T	19.89	2	20.99
10	2021-05-04 09:15:00	P0022	3	visa	4041599876543210	F	8.45	1	9.79
11	2021-05-04 09:50:00	P0654	2	americanexpress	374281234567890	F	6.99	2	7.49
12	2021-05-04 10:10:00	P0987	9	mastercard	5108759876543210	T	21.67	3	22.99
13	2021-05-04 10:45:00	P0321	1	visa	4041593216549870	F	3.25	1	4.59
14	2021-05-04 11:20:00	P0456	8	mastercard	5108757412589630	F	15.39	2	16.89
15	2021-05-04 12:00:00	P0110	6	visa	4041591472583690	T	7.29	1	8.49
16	2021-05-04 12:45:00	P0777	4	americanexpress	374287412563258	F	9.15	1	9.99
17	2021-05-04 13:30:00	P0888	2	visa	4041593698527410	F	5.78	3	6.49
18	2021-05-04 14:10:00	P0999	5	mastercard	5108751597532580	T	11.99	2	12.89
19	2021-05-04 14:50:00	P0543	3	americanexpress	374289741258963	F	14.75	2	15.99
20	2021-05-04 15:30:00	P0678	7	visa	4041597539518520	F	2.50	1	3.29
21	2021-05-04 16:10:00	P0765	9	mastercard	5108752583691470	T	6.79	2	7.49
22	2021-05-04 16:50:00	P0223	5	visa	4041591237894560	F	12.89	3	13.99
23	2021-05-04 17:30:00	P0394	6	americanexpress	374282357489612	F	10.39	1	11.49
24	2021-05-04 18:10:00	P0144	3	mastercard	5108758529631470	T	4.55	1	5.79
25	2021-05-04 18:50:00	P0555	8	visa	4041597896541230	F	18.29	2	19.99
26	2021-05-04 19:30:00	P0634	1	americanexpress	374284789654123	F	7.89	1	8.99
27	2021-05-04 20:10:00	P0900	5	mastercard	5108753698521470	T	22.19	3	23.49
28	2021-05-04 20:50:00	P0256	4	visa	4041599632587410	F	9.49	2	10.59
